unit_code,tower,floor,model,bedrooms,bathrooms,area_m2,view,price_usd,price_basis,parking,storage,balcony,delivery,status,sale_date,source,source_url,contact,notes
T4-07-04A,Torre 4,7,A,2,1,64.85,bosque,220000,asking,1,yes,yes,ago-2026,available,,Leona Raíces,https://leonaraices.com/en_us/,Cecilia Alberty 8810-4103,"Данные из флаера пользователя. Torre 4 Punta Esmeralda, Modelo A, vista bosque, cocina/sala/bodega/balcón/1 parqueo."
T3-13-04A,Torre 3,13,A,2,1,,bosque,,asking,1,yes,yes,entregado,available,,Leona Raíces,https://leonaraices.com/en_us/listings/apartamento-punta-esmeralda-1304a/,Leona Raíces,"Цена по запросу. Modelo A, cocina equipada, balcón vista bosque. Площадь оценочно ~61 м² (модель A)."
T2-12-04A,Torre 2,12,A,2,1,,mixto,,asking,1,yes,yes,entregado,available,,Leona Raíces,https://leonaraices.com/es/listings/apartamento-punta-esmeralda-12-04a/,Leona Raíces,"Цена по запросу. Vista bosque/mar, A/C completo, storage, parking, balcón."
T3-03-04A,Torre 3,3,A,2,1,,bosque,,asking,1,yes,yes,entregado,available,,Leona Raíces,http://leonaraices.com/es/listings/apartamento-t30304a-punta-esmeralda/,Leona Raíces,Цена по запросу. Balcón grande con vista al bosque.
TQ-108944,,,,,,,bosque,295000,asking,,,,,available,,Terraquea,https://terraquea.com/estate_property/apartamento-en-venta-punta-esmeralda-punta-leona-codigo-108944/108944,Terraquea,Vista al bosque. Точные спальни/площадь не указаны в открытом доступе.
TQ-112550,,5,A,2,1,60,montaña,200000,asking,1,yes,,,available,,Terraquea,https://terraquea.com/estate_property/apartamento-en-venta-en-punta-esmeralda-punta-leona-vista-a-la-montana-precio-200-000-codigo-112550/112550,Terraquea,"Piso 5, llave en mano. Mantenimiento ~$210/мес."
TQ-140843,,19,,3,2,83,montaña,278000,asking,1,,,,available,,Terraquea,https://terraquea.com/propiedades/excelente-oportunidad-para-inversion-apt-mountain-view-precio-278000-punta-leona-punta-esmeralda-punta-leona-playa-mantas-playa-blanca-codigo/140843/,Terraquea,"Piso 19, vista panorámica a la montaña. Mantenimiento ~$260/мес."
TQ-131516,Torre 3,10,,,,,mar,260000,asking,1,,,entregado,available,,Terraquea,https://terraquea.com/estate_property/apartamento-amueblado-en-venta-en-condominio-punta-esmeralda-vista-al-mar-cod-131516/131516,Terraquea,"100% amueblado, piso 10 Torre 3, vista al mar."
TQ-125574,,,,,,,bosque,225000,asking,,,,,available,,Terraquea,https://terraquea.com/property_area/punta-leona,Terraquea,"Condominio Punta Esmeralda, vista al bosque (код Terraquea 125574)."
REMAX-beachfront,,,,2,1,,mar,,asking,1,yes,yes,entregado,available,,RE/MAX Jaco Beach,https://remax-ocr.com/properties/punta-leona-condo-fully-titled-beachfront/,RE/MAX,"Fully titled, turnkey amueblado, vista parcial al mar, pasos de Playa Mantas. Цена по запросу."
JACO-PE,,,,,,,,285000,asking,,,,,available,,Jaco Real Estate CR,https://jacorealestatecr.com/properties/apartment-for-sale-in-punta-esmeralda-punta-leona/,Jaco Realty,"Цена ~$285,000 (по видео Terraquea/Facebook)."
PV-topfloor,,,,3,,,,,asking,,,,,available,,Pura Vida Rentals & Sales,https://rentaspuravida.com/properties/spectacular-3-bedroom-condo-at-punta-esmeralda-punta-leona/,Pura Vida,"3 спальни, верхний этаж (top floor). Цена по запросу."
PE-oceanview-140,,5,,3,2,140,mar,,asking,,,,,available,,Terraquea Beach Properties,https://terraqueabeachproperties.com/property/apartment-for-sale-in-punta-esmeralda-punta-leona/,—,"Piso 5, vista al mar. Крупный юнит ~140 м². Цена по запросу."
MODELO A (ref),,,A,2,1,63,bosque,,estimate,1,yes,yes,,model-reference,,Сводно по проекту,https://www.reservaspuntaesmeralda.com/,,"Типовая модель A: 2 сп./1 с/у, ~61-65 м², вид на лес. Типичная перепродажа $200-220k."
MODELO B (ref),,,B,3,2,90,mar,,estimate,1,yes,yes,,model-reference,,Сводно по проекту,https://www.reservaspuntaesmeralda.com/,,"Типовая модель B: 2-3 сп./2 с/у, ~83-102 м², вид на море/горы. Типичная цена $260-295k."
PREMIUM (ref),,,Premium,3,2,140,mar,,estimate,1,yes,yes,,model-reference,,Сводно по проекту,https://www.reservaspuntaesmeralda.com/,,"Объединённый/премиум юнит: ~140 м², вид на океан, верхние этажи."
Torre 1 (распродана),Torre 1,,,,,,,107000,estimate,,,,entregado,sold,2021-2023,Reservas Punta Esmeralda / застройщик,https://www.reservaspuntaesmeralda.com/,ventaspl@puntaesmeraldacr.com,"Torre 1 распродана застройщиком. $107k — стартовая цена застройщика (2 сп.), НЕ цена конкретной сделки. Точные цены сделок в Коста-Рике не публичны."
Torre 2 (почти распродана),Torre 2,,,,,,,110000,estimate,,,,entregado,sold,2022-2024,Reservas Punta Esmeralda / застройщик,https://www.reservaspuntaesmeralda.com/,ventaspl@puntaesmeraldacr.com,"«Última Torre 2» — оставались последние юниты. $110k — оценка стартовой цены застройщика, не цена сделки."
Torre 3 (первичка закрыта),Torre 3,,,,,,,150000,estimate,,,,06-2023,sold,2023,Constructora Edificar / застройщик,https://constructoraedificar.com/residential-en/punta-esmeralda-torre-3-2/,ventaspl@puntaesmeraldacr.com,"Torre 3 сдана 06/2023, первичные продажи в основном закрыты. На вторичке сейчас $260k+ (см. T3-13-04A, TQ-131516). $150k — оценка первички, не цена сделки."
